,time,assets,sparsity,overall_while,cvg_w,cvg_e,w,e,cor,res
0,0.15294909477233887,10,0.1,500,100,100,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
1,0.1320021152496338,10,0.1,500,100,10,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
2,0.1119990348815918,10,0.1,500,10,100,"[[-0.44584001 -0.36418627  0.84201878 -0.59790759  0.23913799  0.12628559
   0.10772704 -0.09354394 -0.06142606]
 [-0.64836009  0.55265754  0.56048773  1.66415807 -0.110338    0.06472933
  -0.14245744 -0.08631944  0.27210361]
 [-0.60837244  0.23134838 -0.73612882 -0.36985801  0.01612481 -0.26695628
   0.13588051 -0.11998564  0.06813935]
 [-0.0127788  -0.66124775 -0.18861543  0.14780855 -0.67149862  0.49106011
   0.18832593  0.81999929 -2.94945038]
 [ 0.11366698 -0.36730395 -0.06376812  0.15038206  0.34830865 -2.649
   0.21686743 -1.38536293 -1.02570182]
 [-0.11965054 -0.45580708 -0.23058391 -0.01451322  0.85385896 -0.06246741
  -1.6536045   0.66197334  0.41206969]
 [ 0.05079584 -0.90385002 -0.21254844  0.22728776 -0.82353507 -0.81775169
   0.57436193  0.22052971  2.74766216]
 [ 0.22354346 -0.63821636 -0.2179985  -0.05947479 -0.35760858  1.32661269
  -0.94853341 -2.09891762 -0.14834128]
 [-0.1663567  -0.28488945 -0.26936555  0.57477417  1.2009098   0.903443
   1.24360825  0.08293828  0.01436139]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41886033 0.99066826 0.61011733
 0.97212773 0.97049079 0.19413492]","[0.4437425  0.27665272 0.05217011 0.29056983 0.00466587 0.19494133
 0.01393614 0.01475461 0.40293254]"
3,0.11700057983398438,10,0.1,500,10,10,"[[-0.44584001 -0.36418627  0.84201878 -0.59790759  0.23913799  0.12628559
   0.10772704 -0.09354394 -0.06142606]
 [-0.64836009  0.55265754  0.56048773  1.66415807 -0.110338    0.06472933
  -0.14245744 -0.08631944  0.27210361]
 [-0.60837244  0.23134838 -0.73612882 -0.36985801  0.01612481 -0.26695628
   0.13588051 -0.11998564  0.06813935]
 [-0.0127788  -0.66124775 -0.18861543  0.14780855 -0.67149862  0.49106011
   0.18832593  0.81999929 -2.94945038]
 [ 0.11366698 -0.36730395 -0.06376812  0.15038206  0.34830865 -2.649
   0.21686743 -1.38536293 -1.02570182]
 [-0.11965054 -0.45580708 -0.23058391 -0.01451322  0.85385896 -0.06246741
  -1.6536045   0.66197334  0.41206969]
 [ 0.05079584 -0.90385002 -0.21254844  0.22728776 -0.82353507 -0.81775169
   0.57436193  0.22052971  2.74766216]
 [ 0.22354346 -0.63821636 -0.2179985  -0.05947479 -0.35760858  1.32661269
  -0.94853341 -2.09891762 -0.14834128]
 [-0.1663567  -0.28488945 -0.26936555  0.57477417  1.2009098   0.903443
   1.24360825  0.08293828  0.01436139]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41886033 0.99066826 0.61011733
 0.97212773 0.97049079 0.19413492]","[0.4437425  0.27665272 0.05217011 0.29056983 0.00466587 0.19494133
 0.01393614 0.01475461 0.40293254]"
4,0.1300032138824463,10,0.1,100,100,100,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
5,0.1399984359741211,10,0.1,100,100,10,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
6,0.13299989700317383,10,0.1,100,10,100,"[[-0.44584001 -0.36418627  0.84201878 -0.59790759  0.23913799  0.12628559
   0.10772704 -0.09354394 -0.06142606]
 [-0.64836009  0.55265754  0.56048773  1.66415807 -0.110338    0.06472933
  -0.14245744 -0.08631944  0.27210361]
 [-0.60837244  0.23134838 -0.73612882 -0.36985801  0.01612481 -0.26695628
   0.13588051 -0.11998564  0.06813935]
 [-0.0127788  -0.66124775 -0.18861543  0.14780855 -0.67149862  0.49106011
   0.18832593  0.81999929 -2.94945038]
 [ 0.11366698 -0.36730395 -0.06376812  0.15038206  0.34830865 -2.649
   0.21686743 -1.38536293 -1.02570182]
 [-0.11965054 -0.45580708 -0.23058391 -0.01451322  0.85385896 -0.06246741
  -1.6536045   0.66197334  0.41206969]
 [ 0.05079584 -0.90385002 -0.21254844  0.22728776 -0.82353507 -0.81775169
   0.57436193  0.22052971  2.74766216]
 [ 0.22354346 -0.63821636 -0.2179985  -0.05947479 -0.35760858  1.32661269
  -0.94853341 -2.09891762 -0.14834128]
 [-0.1663567  -0.28488945 -0.26936555  0.57477417  1.2009098   0.903443
   1.24360825  0.08293828  0.01436139]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41886033 0.99066826 0.61011733
 0.97212773 0.97049079 0.19413492]","[0.4437425  0.27665272 0.05217011 0.29056983 0.00466587 0.19494133
 0.01393614 0.01475461 0.40293254]"
7,0.14100050926208496,10,0.1,100,10,10,"[[-0.44584001 -0.36418627  0.84201878 -0.59790759  0.23913799  0.12628559
   0.10772704 -0.09354394 -0.06142606]
 [-0.64836009  0.55265754  0.56048773  1.66415807 -0.110338    0.06472933
  -0.14245744 -0.08631944  0.27210361]
 [-0.60837244  0.23134838 -0.73612882 -0.36985801  0.01612481 -0.26695628
   0.13588051 -0.11998564  0.06813935]
 [-0.0127788  -0.66124775 -0.18861543  0.14780855 -0.67149862  0.49106011
   0.18832593  0.81999929 -2.94945038]
 [ 0.11366698 -0.36730395 -0.06376812  0.15038206  0.34830865 -2.649
   0.21686743 -1.38536293 -1.02570182]
 [-0.11965054 -0.45580708 -0.23058391 -0.01451322  0.85385896 -0.06246741
  -1.6536045   0.66197334  0.41206969]
 [ 0.05079584 -0.90385002 -0.21254844  0.22728776 -0.82353507 -0.81775169
   0.57436193  0.22052971  2.74766216]
 [ 0.22354346 -0.63821636 -0.2179985  -0.05947479 -0.35760858  1.32661269
  -0.94853341 -2.09891762 -0.14834128]
 [-0.1663567  -0.28488945 -0.26936555  0.57477417  1.2009098   0.903443
   1.24360825  0.08293828  0.01436139]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41886033 0.99066826 0.61011733
 0.97212773 0.97049079 0.19413492]","[0.4437425  0.27665272 0.05217011 0.29056983 0.00466587 0.19494133
 0.01393614 0.01475461 0.40293254]"
8,0.16100788116455078,10,0.1,20,100,100,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
9,0.1519932746887207,10,0.1,20,100,10,"[[-0.44584001 -0.36418627  0.84201878 -0.59782724  0.24003716  0.12539048
   0.10917939 -0.09007664 -0.06312929]
 [-0.64836009  0.55265754  0.56048773  1.6637852  -0.11304295  0.06784736
  -0.14165799 -0.09525332  0.2699419 ]
 [-0.60837244  0.23134838 -0.73612882 -0.3696994   0.01673372 -0.2674784
   0.13594101 -0.12011173  0.06644174]
 [-0.0127788  -0.66124775 -0.18861543  0.14663333 -0.67143629  0.48264329
   0.17738932  0.8727777  -2.93641625]
 [ 0.11366698 -0.36730395 -0.06376812  0.15043356  0.3480666  -2.64714695
   0.21332519 -1.37492009 -1.04517   ]
 [-0.11965054 -0.45580708 -0.23058391 -0.01237974  0.85390561 -0.05599846
  -1.65832993  0.64104287  0.42681133]
 [ 0.05079584 -0.90385002 -0.21254844  0.2289062  -0.82357568 -0.8163656
   0.57498398  0.1759174   2.75101411]
 [ 0.22354346 -0.63821636 -0.2179985  -0.06635961 -0.3587863   1.33715632
  -0.92575802 -2.09916405 -0.18401758]
 [-0.1663567  -0.28488945 -0.26936555  0.57655128  1.20004713  0.89826432
   1.24661899  0.093884    0.01135995]]","[[ 2.75784408e-04 -4.54647933e-02 -7.12825301e-02 ...  7.65430432e-02
   5.22010585e-02  1.59333759e+00]
 [ 2.49584896e-04  7.25732454e-02 -5.30933355e-02 ...  9.85762160e-02
   3.22389499e-01 -1.44593088e-01]
 [ 2.45031153e-04  2.92474739e-02  1.35748128e-01 ... -1.01183342e-01
  -2.29671048e-01 -2.54008323e-01]
 ...
 [ 2.65286505e-04 -3.68349109e-02  7.17670673e-02 ... -6.31552742e-02
  -2.17097462e-02  6.94667240e-01]
 [ 2.68142764e-04 -1.87299922e-02 -6.72899293e-02 ...  2.28984223e-01
  -9.43750655e-02 -6.12062744e-01]
 [ 2.60455061e-04 -1.56494334e-02  9.70549261e-03 ... -1.33956192e-01
  -1.31266554e-01 -2.16660624e-01]]","[0.112515   0.44669456 0.89565978 0.41892691 0.99072641 0.61071357
 0.97115675 0.9689457  0.19533406]","[0.4437425  0.27665272 0.05217011 0.29053654 0.0046368  0.19464321
 0.01442163 0.01552715 0.40233297]"
